cluster
22
11
6
3
1
24
14
37
35
1
61
8
10
13
45
0
1
0
2
8
21
7
17
50
2
12
43
29
65
69
2
5
4
61
3
28
1
0
4
0
5
38
0
46
7
67
3
3
3
8
3
0
16
3
2
2
52
63
6
5
36
8
6
12
15
3
49
9
10
53
59
7
0
9
0
6
4
0
8
1
71
44
40
2
48
2
8
0
8
62
3
2
19
7
2
12
23
18
2
7
5
66
10
6
10
11
1
68
27
11
55
4
2
1
3
16
4
8
41
8
10
56
42
0
33
54
7
0
3
6
34
11
1
4
13
1
70
4
15
5
15
13
0
64
19
12
2
12
32
11
25
26
5
72
8
9
9
2
2
15
20
17
51
6
14
63
0
47
0
7
31
0
57
0
5
7
8
3
18
4
39
16
5
9
4
0
1
11
74
2
60
55
73
13
6
58
1
30
10
7
1
2
1
9
5
7
0
44
0
6
