total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
1.7006906705181335,0.40858463296394976,0.4680527167173184,1.058143915609695,7.361586146858984e-05,0.03021926037155554,0.7885196374622357,0.3854844993599377,0.3037001536710243,0.3458483474846446,0.3022996579778919,0.47518998658918193,0.4893616768698685,0.3564760658840144,0.6902441401206497,0.30020503911214924,0.6874813265610995,0.7661548039429356
0.04607665420927322,0.060395953993116584,0.01350588054829609,0.5116162250408138,0.02704572423743687,0.002805808729592761,0.10574018126888218,0.04513830912227973,0.009828022274214195,0.6249026980117891,0.8307973264351417,0.3844434510505141,0.20498104388298857,0.5505986656274745,0.34794867348716924,0.029197080291970802,0.34508515088138614,0.23701037800150082
0.006787064716739402,0.008814780515359196,0.04598379241299661,1.6744945372347106,0.022833971109465345,0.001227712531159931,0.051359516616314216,0.046529748984248887,0.044362789870440913,0.6644959643646801,0.40445143065577055,0.13187304425569957,0.15888747505847034,0.34374150771114564,0.2980379730063772,0.05678759229709334,0.23513594263519555,0.3736205264329213
0.009018260864783821,0.08111309759159042,0.20859354750906733,0.937289822654854,9.86088622576796e-06,0.018795441900372734,0.5302330322698052,0.37167090627241345,0.19955606197780035,0.4670748456344851,0.36102660051657853,0.2908687205388636,0.36531427361539187,0.3500964284274994,0.5578077971168361,0.25082306792024806,0.854496564087242,0.7360062596429262
0.21718103054841248,0.21720821646152985,0.11890808260849281,0.8838377495918626,0.0019988502024630727,0.00541334754508922,0.6918429003021148,0.45177269438414863,0.09582672396562751,0.4187305187850272,0.44184157149204056,0.40634778721502013,0.2825266779411101,0.6178977272727274,0.5926429789912296,0.20364963503649636,0.7556020316701519,0.7093852286017142
1.215599540316683,1.1085014792313652,0.433979101978073,1.0465904809745072,5.3119419240281485e-05,0.008456863087749995,0.5564420920735068,0.4554168358388466,0.3130345426910524,0.3871039278575419,0.1827537963047286,0.31202503352704514,0.7083441780248416,0.42755681818181823,0.6642648128558928,0.24701910970686686,0.909769943232746,0.8295363230052528
0.4362324571612906,0.06833313534825573,1.4697941165393984,1.116413412030642,0.006871002020036552,0.005804667023614537,0.5709969788519637,0.0,0.5730605010425341,0.4053228531046461,0.45996549588674407,0.727313366115333,0.16780872129754776,0.421875,0.723981409430446,0.0802919708029197,0.7376755303256646,0.8377658500191938
0.7612437293000461,0.6055321071188159,0.23034124951872184,2.0,0.031400157642867875,0.0008290535511221865,0.5075528700906343,0.38487226582067124,0.15715130145631417,0.41493137184898166,0.2915332053302351,0.2016092981671882,0.4594645432727063,0.2840909090909091,0.5545366197088111,0.35766423357664234,0.6988347774126082,0.7752214447132422
0.7785770253650616,0.5229214193186564,0.14197336023525806,1.4625341920984538,0.0020582072766413477,0.005313075482172945,0.622356495468278,0.3921077531029109,0.06988935479842676,0.42404932449549104,0.4907409688237379,0.2735806884219938,0.17364183773705094,0.6306818181818182,0.6014970135852695,0.29927007299270075,0.6516283238721243,0.6600080665180681
0.04711428665690359,0.04937667024656011,0.19061117861434376,0.9725667074693098,6.747547448463034e-05,0.01197620574958975,0.513595166163142,0.22847442533533702,0.17914270179599354,0.47758001661177246,0.2921694354354064,0.5444792132320071,0.3006782119935327,0.31614580956660476,0.5308858674679708,0.2700729927007299,0.7092919031968927,0.7011557015877732
0.04848568438378059,0.055765527484773335,0.45606928104552913,1.5001883712168782,0.01771601830864972,0.00015841952208163975,0.688821752265861,0.5344798797795959,0.3783075649696115,0.4141715424617725,0.1809686329198637,0.18238712561466253,0.39724463458467246,0.125,0.6431978130109356,0.272992700729927,0.90110546758291,0.962854660631097
0.2326318794412685,0.14324584009108932,0.2803928805774895,0.8140148185357279,0.0062568243674205526,0.005510415036922602,0.8851963746223565,0.7359047141982523,0.3850844330598766,0.41569120123619074,0.23063442852021215,0.2396066160035762,0.6966779451458351,0.3295454545454546,0.6647626158551103,0.5306569343065694,0.8443382133253663,0.9118315931446626
0.18166100921382788,0.09407119543389841,0.15184691262795735,1.5232952404872537,0.007043843700499839,0.006159599114359926,0.5226586102719033,0.1861746535314744,0.13060642948281978,0.3892798434667529,0.7813639739838643,0.2735806884219938,0.15030937197903826,0.4943181818181819,0.5528473667170585,0.3357664233576642,0.5891843441888258,0.6632998773236445
0.0018127523630251858,0.0,0.0005494708088691642,0.0698229310561346,0.00826080892831443,0.021859568148899666,0.07250755287009059,0.05443312740023376,0.0003524852770636624,0.9551700661546625,0.42706217195082646,0.22619579794367456,0.23832405566242248,0.3477735569338436,0.205620758255804,0.051094890510948905,0.2479832685987451,0.10369204037565671
0.496362994026683,1.3973204942030777,0.4366209275663965,0.9303026497551175,0.008051568189909342,0.019404556579622763,0.8066465256797583,0.6858685367618411,0.36119171930939886,0.4118920543001452,0.1904084812652765,0.1475189986589182,0.6325136643113004,0.3366477272727273,0.6281779254972156,0.40437956204379555,0.8470271885270391,0.9249988363669683
0.008763858773847904,0.00533024314991834,0.013007748356405741,0.9767675499183726,0.00842228554311992,0.00511558086753218,0.11178247734138969,0.07881115378193354,0.012066254331565444,0.787247771581448,0.35105990343745624,0.0,0.15614248841854142,0.0653409090909091,0.22764866260985145,0.029197080291970802,0.2536599940244997,0.26499076984890024
