location,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
French Polynesia,5930.852,24.92,,,,,280904.0,77.324,32.7,4.593,,,,22.63,,,,,77.66,
Qatar,43650.600999999995,74.278,271.125,22.714,0.044,64.81,2881060.0,227.322,31.9,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.856
Romania,6631.36,250.81,127.12,12.787,0.078,43.52,19237682.0,85.12899999999999,43.0,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
Russia,8060.371999999999,141.995,320.856,45.505,0.022,40.74,145934460.0,8.823,39.6,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,23.4,58.3,,8.05,72.58,0.816
Rwanda,373.681,2.239,38.478,244.885,0.004,75.93,12952209.0,494.869,20.3,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
Saudi Arabia,9611.256,136.957,189.36900000000003,97.689,0.01,57.41,34813867.0,15.322000000000001,31.9,1.845,49045.41099999999,,259.538,17.72,1.8,25.4,,2.7,75.13,0.853
Sudan,311.066,19.065,,,,51.85,43849269.0,23.258000000000003,19.7,2.0340000000000003,4466.5070000000005,,431.38800000000003,15.67,,,23.436999999999998,0.8,65.31,0.502
Senegal,894.7719999999999,18.574,11.151,43.16,0.023,40.74,16743930.0,82.32799999999999,18.7,1.796,2470.58,38.0,241.21900000000002,2.42,0.4,16.6,20.859,,67.94,0.505
Singapore,9869.849,4.615,,1850.854,0.001,54.63,5850343.0,7915.731,42.4,7.0489999999999995,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.932
Sierra Leone,279.68,9.026,,,,29.63,7976985.0,104.7,19.1,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
El Salvador,4482.901,129.968,61.8,15.209,0.066,52.78,6486201.0,307.811,27.6,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
San Marino,21568.743,1237.5510000000002,,,,25.93,33938.0,556.6669999999999,,,56861.47,,,5.64,,,,3.8,84.97,
Somalia,225.757,6.229,,,,37.96,15893219.0,23.5,16.8,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
Serbia,4930.638,110.073,167.58900000000003,87.805,0.011,50.93,6804596.0,80.291,41.2,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
South Sudan,241.56400000000002,4.377,,,,35.19,11193729.0,,19.2,2.032,1569.888,,280.775,10.43,,,,,57.85,0.38799999999999996
Sao Tome and Principe,4156.7609999999995,68.443,,,,,219161.0,212.84099999999998,18.7,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
Suriname,8313.530999999999,177.283,,,,63.89,586634.0,3.612,29.6,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72
Slovakia,1857.4470000000001,8.792,86.97399999999999,14.275,0.07,34.72,5459643.0,113.12799999999999,41.2,9.167,30155.152000000002,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.855
Slovenia,2736.982,66.38,110.78299999999999,17.627,0.057,46.3,2078932.0,102.619,44.5,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
Sweden,9291.464,582.616,,38.773,0.026,37.04,10099270.0,24.718000000000004,41.0,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
Swaziland,4725.194,93.95200000000001,,,,64.81,1160164.0,79.492,21.5,1.845,7738.975,,333.436,3.94,1.7,16.5,24.096999999999998,2.1,60.19,0.588
Sint Maarten (Dutch part),15554.312,513.036,,,,,42882.0,1209.088,,,36327.232,,,,,,,,78.95,
Seychelles,1464.308,,,,,36.11,98340.0,208.354,36.2,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
Syria,239.99099999999999,11.427999999999999,,,,53.7,17500657.0,,21.7,2.577,,,376.264,,,,70.598,1.5,72.7,0.536
Turks and Caicos Islands,17795.341,154.967,,,,,38718.0,37.312,,,,,,,,,,,80.22,
Chad,73.056,5.175,,,,65.74,16425859.0,11.833,16.7,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,54.24,0.40399999999999997
Togo,215.49200000000002,5.797999999999999,11.171,75.313,0.013,47.22,8278737.0,143.366,19.4,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
Thailand,51.132,0.845,15.152999999999999,602.66,0.002,43.52,69799978.0,135.132,40.1,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.755
Tajikistan,1024.257,7.968,,,,36.11,9537642.0,64.281,23.3,2.155,2896.913,4.8,427.69800000000004,7.11,,,72.704,4.8,71.1,0.65
Timor,21.237,,,,,29.63,1318442.0,87.176,18.0,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
Trinidad and Tobago,3237.6059999999998,54.305,,,,80.56,1399491.0,266.88599999999997,36.2,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
Tunisia,1557.9660000000001,22.421999999999997,,,,24.07,11818618.0,74.22800000000001,32.7,5.075,10849.296999999999,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.735
Turkey,3778.3559999999998,97.167,124.42399999999999,72.883,0.014,69.91,84339067.0,104.914,31.6,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.7909999999999999
Taiwan,21.581,0.294,3.949,299.6,0.003,19.44,23816775.0,,42.2,8.353,,,103.95700000000001,,,,,,80.46,
Tanzania,8.521,0.35200000000000004,,,,8.33,59734213.0,64.699,17.7,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
Uganda,177.718,1.64,10.639000000000001,16.845,0.059,73.15,45741000.0,213.75900000000001,16.4,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
Ukraine,4777.979,94.412,52.783,7.4,0.135,58.8,43733759.0,77.39,41.4,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.7509999999999999
Uruguay,588.993,13.818,68.778,145.95,0.006999999999999999,43.52,3473727.0,19.750999999999998,35.6,10.360999999999999,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.804
United States,21851.918999999998,625.155,358.392,22.863000000000003,0.044,62.5,331002647.0,35.608000000000004,38.3,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.924
Uzbekistan,1702.969,14.073,,,,62.96,33469199.0,76.134,28.2,2.873,6253.104,,724.4169999999999,7.57,1.3,24.7,,4.0,71.72,0.71
Vatican,14833.127,,,,,,809.0,,,,,,,,,,,,75.12,
Saint Vincent and the Grenadines,576.852,,,,,,110947.0,281.78700000000003,31.8,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
Venezuela,2641.797,22.085,,,,87.96,28435943.0,36.253,29.0,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
British Virgin Islands,2348.117,33.071999999999996,,,,,30237.0,207.97299999999998,,,,,,13.67,,,,,79.07,
United States Virgin Islands,12621.74,191.52900000000002,,,,,104423.0,306.48,42.2,10.799000000000001,,,273.67,12.26,,,,,80.58,
Vietnam,11.239,0.36,,855.12,0.001,51.85,97338583.0,308.127,32.6,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.84700000000001,2.6,75.4,0.6940000000000001
Kosovo,8081.648,323.369,,,,58.33,1932774.0,168.155,,,9795.834,0.6,,,,,,,,
Yemen,68.229,19.714000000000002,,,,45.37,29825968.0,53.508,20.3,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
South Africa,11369.986,282.151,70.969,11.681,0.086,39.81,59308690.0,46.754,27.3,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
Zambia,802.82,18.059,8.549,34.313,0.029,44.44,18383956.0,22.995,17.7,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
Zimbabwe,527.352,15.34,8.109,34.751999999999995,0.029,76.85,14862927.0,42.729,19.6,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.535
