location,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
China,62.896,3.293,,,,54.17,1439323774.0,147.674,38.7,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
Cote d'Ivoire,747.737,4.5489999999999995,6.206,24.905,0.04,32.41,26378275.0,76.399,18.7,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.49200000000000005
Cameroon,784.9810000000001,15.745999999999999,,,,52.78,26545864.0,50.885,18.8,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.556
Democratic Republic of Congo,119.01299999999999,3.037,,11.325,0.08800000000000001,39.81,89561404.0,35.879,17.0,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
Congo,922.2389999999999,16.129,,,,56.48,5518092.0,15.405,19.0,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.606
Colombia,16305.66,510.93800000000005,66.24600000000001,,,71.3,50882884.0,44.223,32.2,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.747
Comoros,550.831,8.05,,,,,869595.0,437.352,20.4,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.503
Cape Verde,10834.766000000001,107.916,,,,68.98,555988.0,135.58,25.7,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.654
Costa Rica,14872.066,177.46,40.614000000000004,,,62.96,5094114.0,96.079,33.6,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
Cuba,494.14599999999996,10.770999999999999,55.50899999999999,157.725,0.006,78.7,11326616.0,110.40799999999999,43.1,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
Curacao,2388.7870000000003,6.093999999999999,,,,,164100.0,362.644,41.7,10.068,,,,11.62,,,,,78.88,
Cayman Islands,3210.59,15.216,,,,,65720.0,256.496,,,49903.029,,,13.22,,,,,83.92,
Cyprus,2003.656,25.116999999999997,439.50199999999995,197.248,0.005,53.7,875899.0,127.65700000000001,37.3,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
Czech Republic,6435.626,61.163999999999994,131.871,9.251,0.108,38.89,10708982.0,137.17600000000002,43.3,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,0.888
Germany,3481.837,113.387,,82.84899999999998,0.012,46.76,83783945.0,237.016,46.6,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.9359999999999999
Djibouti,5481.77,61.74100000000001,,,,37.96,988002.0,41.285,25.4,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
Dominica,430.60900000000004,,,,,25.0,71991.0,98.56700000000001,,,9673.367,,227.37599999999998,11.62,,,,3.8,75.0,0.715
Denmark,4833.7390000000005,112.22,678.6360000000001,89.945,0.011,50.93,5792203.0,136.52,42.3,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9,0.929
Dominican Republic,10343.841999999999,194.047,,9.169,0.109,75.93,10847904.0,222.873,27.6,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
Algeria,1175.115,39.543,,,,75.93,43851043.0,17.348,29.1,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Ecuador,7767.757,643.596,20.688000000000002,,,48.61,17643060.0,66.939,28.1,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
Egypt,1008.439,57.946999999999996,,,,62.96,102334403.0,97.999,25.3,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
Eritrea,105.74,,,,,86.11,3546427.0,44.303999999999995,19.3,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
Western Sahara,1282.373,1.6740000000000002,,,,,597330.0,,28.4,1.38,,,,,,,,,70.26,
Spain,16652.991,683.8439999999999,216.475,10.515,0.095,55.09,46754783.0,93.105,45.5,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
Estonia,2541.199,48.246,164.105,52.666,0.019,22.22,1326539.0,31.033,42.7,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
Ethiopia,655.582,10.421,11.124,10.311,0.097,77.78,114963583.0,104.95700000000001,19.8,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
Finland,1803.376,62.086000000000006,201.387,124.081,0.008,32.41,5540718.0,18.136,42.8,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.92
Fiji,35.696999999999996,2.231,12.075,,0.0,48.15,896444.0,49.562,28.6,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.741
Falkland Islands,3732.415,,,,,,3483.0,,,,,,,,,,,,81.44,
France,8633.440999999999,489.57099999999997,,13.697,0.073,46.76,65273512.0,122.57799999999999,42.0,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
Faeroe Islands,9556.943000000001,,,,,,48865.0,35.308,,,,,,,,,,,80.67,
Gabon,3938.487,24.261999999999997,,,,66.67,2225728.0,7.859,23.1,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
United Kingdom,6676.84,620.7909999999999,308.818,37.653,0.027000000000000003,67.59,67886004.0,272.89799999999997,40.8,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.922
Georgia,1664.505,9.776,,,,56.48,3989175.0,65.032,38.7,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.78
Guernsey,3817.9320000000002,193.87900000000002,,,,,67052.0,,,,,,,,,,,,,
Ghana,1501.499,9.687000000000001,15.719000000000001,18.537,0.054000000000000006,44.44,31072945.0,126.719,21.1,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
Gibraltar,11753.881000000001,,,,,,33691.0,3457.1,,,,,,,,,,,79.93,
Guinea,811.0989999999999,5.026,,,,48.15,13132792.0,51.755,19.0,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
Gambia,1480.967,46.345,,,,75.93,2416664.0,207.56599999999997,17.5,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
Guinea-Bissau,1180.896,19.817,,,,,1967998.0,66.191,19.4,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
Equatorial Guinea,3585.2129999999997,59.16,,,,,1402985.0,45.193999999999996,22.4,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
Greece,1772.513,37.513000000000005,126.48299999999999,32.88,0.03,46.76,10423056.0,83.479,45.3,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.87
Grenada,213.297,,,,,,112519.0,317.132,29.4,5.021,13593.877,,243.96400000000003,10.71,,,,3.7,72.4,0.772
Greenland,246.6,,,,,33.33,56772.0,0.13699999999999998,,,,,199.94099999999997,2.16,,,,,71.7,
Guatemala,5121.021,181.183,18.369,5.783,0.173,42.13,17915567.0,157.834,22.9,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3,0.65
Guam,14474.207,278.464,,,,66.67,168783.0,304.128,31.4,5.492999999999999,,,310.496,21.52,,,,,80.07,
Guyana,3679.317,101.709,,,,79.17,786559.0,3.952,26.3,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91,0.654
Hong Kong,,,,,,59.26,7496988.0,7039.714,44.8,10.158,56054.92,,,8.33,,,,,84.86,0.9329999999999999
Honduras,7764.063,237.56599999999997,,,,84.26,9904608.0,82.805,24.9,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.617
Croatia,4041.88,68.205,76.09899999999999,26.631,0.038,28.7,4105268.0,73.726,44.0,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
Haiti,768.7769999999999,20.083,,,,43.52,11402533.0,398.44800000000004,24.3,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498
Hungary,2826.9159999999997,80.846,75.32300000000001,11.493,0.087,40.74,9660350.0,108.04299999999999,43.4,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.838
Indonesia,1049.299,39.265,7.4,6.403,0.156,68.98,273523621.0,145.725,29.3,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001
Isle of Man,3998.495,282.247,,,,,85032.0,147.872,,,,,,,,,,,81.4,
India,4574.322,71.506,54.797,14.108,0.071,73.61,1380004385.0,450.41900000000004,28.2,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64
Ireland,7322.093000000001,365.345,242.114,35.7,0.028,52.31,4937796.0,69.874,38.7,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.938
Iran,5443.54,311.562,,8.022,0.125,54.63,83992953.0,49.831,32.4,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.7979999999999999
Iraq,9024.327,228.255,56.93,4.877,0.205,73.15,40222503.0,88.125,20.0,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.685
Iceland,7994.139,29.304000000000002,384.33099999999996,40.222,0.025,31.48,341250.0,3.404,37.3,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.935
Israel,28667.532000000003,181.502,439.811,7.212999999999999,0.139,85.19,8655541.0,402.606,30.6,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
Italy,5207.6,593.664,114.396,32.126999999999995,0.031,43.52,60461828.0,205.859,47.9,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,0.88
Jamaica,2182.252,36.134,26.829,3.76,0.266,78.7,2961161.0,266.879,31.4,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732
Jersey,4096.049,316.603,,,,,101073.0,,,,,,,,,,,,,
Jordan,1158.9569999999999,5.979,,,,63.89,10203140.0,109.285,23.2,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.735
