cluster
12
0
3
6
18
12
10
12
18
6
16
2
8
1
9
3
6
3
14
2
13
6
2
2
14
10
7
7
5
10
14
0
1
9
9
12
11
1
3
1
0
7
3
14
6
5
5
10
5
2
2
0
17
5
14
14
6
8
3
0
9
2
3
5
8
6
9
6
0
9
18
6
3
6
1
3
1
3
2
6
0
14
10
8
4
14
2
0
2
8
6
11
9
6
14
5
12
9
14
6
14
19
8
3
8
0
6
19
13
0
6
3
8
6
6
17
1
2
4
2
8
15
18
1
6
7
6
3
5
14
2
0
6
1
1
6
17
3
10
0
10
1
3
17
9
5
14
16
13
0
7
7
8
0
2
12
5
14
14
10
13
2
2
3
10
0
3
4
1
14
9
1
2
1
0
8
2
5
9
3
6
6
0
6
1
3
18
0
0
6
18
6
5
1
3
2
5
12
8
6
6
14
6
5
18
6
0
0
3
3
