cluster
9
0
19
18
18
11
1
4
13
18
5
15
13
10
11
19
18
10
16
17
9
3
17
17
6
18
4
4
18
1
16
3
7
2
1
12
14
10
3
7
7
4
3
19
4
2
2
1
12
17
15
10
18
1
4
16
4
0
19
3
11
17
19
1
0
18
11
18
3
11
13
3
10
8
7
19
7
3
17
3
3
16
6
16
8
16
17
0
17
16
18
14
1
4
16
1
9
11
16
3
16
15
13
19
13
10
18
15
9
7
12
19
13
18
18
18
7
17
1
17
16
8
13
7
9
4
2
10
2
16
12
13
18
7
10
3
6
19
6
3
6
10
19
18
11
1
16
5
9
0
4
4
0
0
17
2
2
16
16
6
9
17
17
19
6
0
10
8
7
3
11
7
17
10
19
3
17
2
11
19
4
18
0
9
7
19
18
0
7
2
18
12
18
10
19
13
18
11
0
3
3
16
18
2
18
3
0
3
19
19
