cluster
11
0
6
5
5
14
16
11
12
5
19
2
15
8
14
8
5
8
4
13
18
1
13
13
1
3
9
11
5
16
4
4
8
3
2
14
17
8
6
8
0
11
6
4
11
3
3
3
3
13
2
8
5
2
4
4
10
15
6
10
14
13
6
2
15
5
14
5
4
14
12
10
6
5
8
6
8
6
13
10
10
10
1
4
3
4
13
0
13
15
5
17
2
10
9
2
11
14
9
10
4
2
15
6
15
0
5
3
18
0
1
6
4
5
5
5
8
13
2
13
15
7
12
8
11
9
12
8
3
4
13
15
5
8
8
10
1
8
1
6
1
8
8
10
2
2
4
19
11
0
11
11
15
0
13
11
3
9
4
1
18
13
13
6
1
0
8
16
8
10
14
8
13
8
6
4
13
3
2
6
11
5
0
11
8
8
5
0
0
1
5
1
5
8
6
12
5
14
15
11
10
4
5
3
10
10
0
10
8
6
