cluster
9
16
6
14
5
11
10
15
7
10
18
1
7
3
11
6
14
3
13
19
9
0
19
19
13
10
13
0
5
10
13
14
12
1
1
15
2
12
12
12
12
0
16
6
0
4
4
10
15
19
1
3
14
1
0
7
0
7
6
14
11
19
6
1
16
14
11
14
12
11
7
14
3
8
12
6
12
12
19
14
14
13
10
13
8
13
19
16
19
13
14
2
11
0
13
1
15
11
13
14
13
1
7
6
7
3
14
1
9
12
15
6
7
14
14
5
12
19
8
19
7
8
7
17
9
13
4
3
1
13
15
7
14
6
3
14
10
6
10
12
10
3
6
3
11
1
13
18
0
16
0
0
7
16
19
4
4
13
13
10
9
19
19
6
10
16
3
8
12
14
11
12
19
12
6
13
19
1
11
6
0
14
16
15
12
6
5
7
12
4
5
15
5
3
6
7
14
11
7
14
14
13
10
4
5
14
16
12
6
6
